The average error among all flows: 118.4242

The flows with largest estimated sizes (Top 100)
Flow ID:  104.17.183.118	Estimated size: 10011	True size:  9956
Flow ID: 104.154.198.228	Estimated size:  9983	True size:  9835
Flow ID: 159.178.108.111	Estimated size:  9853	True size:  9848
Flow ID:  187.237.14.200	Estimated size:  9747	True size:  9747
Flow ID:  159.178.237.53	Estimated size:  9683	True size:  9681
Flow ID:   103.26.37.253	Estimated size:  9593	True size:  9324
Flow ID:    70.187.95.95	Estimated size:  9554	True size:  9510
Flow ID:  165.215.209.15	Estimated size:  9464	True size:  8982
Flow ID:    52.84.76.175	Estimated size:  9454	True size:  9450
Flow ID:    88.231.33.95	Estimated size:  9038	True size:  8968
Flow ID:   73.224.42.241	Estimated size:  8910	True size:  8910
Flow ID: 159.178.102.100	Estimated size:  8808	True size:  8733
Flow ID:  159.178.107.44	Estimated size:  8746	True size:  8698
Flow ID:  54.230.161.109	Estimated size:  8728	True size:  8673
Flow ID:  216.52.195.182	Estimated size:  8592	True size:  8584
Flow ID:    23.202.88.31	Estimated size:  8492	True size:  8462
Flow ID:    96.7.182.150	Estimated size:  8409	True size:  8364
Flow ID:    104.92.17.82	Estimated size:  8400	True size:  8390
Flow ID:  156.154.65.196	Estimated size:  8169	True size:  7597
Flow ID:  91.198.117.247	Estimated size:  8151	True size:  7394
Flow ID:   157.55.39.140	Estimated size:  8062	True size:  8058
Flow ID:  149.169.208.76	Estimated size:  8050	True size:  8030
Flow ID:   104.16.89.188	Estimated size:  7977	True size:  7867
Flow ID: 128.227.112.222	Estimated size:  7936	True size:  7904
Flow ID:    95.101.36.67	Estimated size:  7921	True size:  6666
Flow ID:  159.178.112.71	Estimated size:  7833	True size:  7315
Flow ID:  69.252.101.144	Estimated size:  7787	True size:  7763
Flow ID:    66.249.64.14	Estimated size:  7766	True size:  7701
Flow ID: 159.178.137.117	Estimated size:  7597	True size:  7581
Flow ID:   120.239.64.18	Estimated size:  7577	True size:  7122
Flow ID:  34.206.148.175	Estimated size:  7494	True size:  7485
Flow ID: 192.210.199.106	Estimated size:  7431	True size:  7374
Flow ID:   63.251.240.12	Estimated size:  7396	True size:  7380
Flow ID:   174.70.89.126	Estimated size:  7306	True size:  7291
Flow ID:    8.27.160.227	Estimated size:  7304	True size:  7272
Flow ID:    68.64.22.136	Estimated size:  7268	True size:  7262
Flow ID:    172.217.8.80	Estimated size:  7189	True size:  7187
Flow ID: 159.178.115.102	Estimated size:  7077	True size:  7063
Flow ID: 159.178.129.112	Estimated size:  7040	True size:  7011
Flow ID:    98.18.16.218	Estimated size:  6981	True size:  6944
Flow ID:   73.224.76.160	Estimated size:  6951	True size:  6946
Flow ID:    71.6.146.185	Estimated size:  6860	True size:  6808
Flow ID:  159.178.129.91	Estimated size:  6792	True size:  6783
Flow ID:   98.18.150.191	Estimated size:  6722	True size:  6714
Flow ID:  54.192.205.183	Estimated size:  6691	True size:  6537
Flow ID:   112.198.103.2	Estimated size:  6663	True size:  6652
Flow ID:   198.245.89.70	Estimated size:  6648	True size:  6296
Flow ID:  159.178.100.84	Estimated size:  6555	True size:  5867
Flow ID:  159.178.108.48	Estimated size:  6503	True size:  6501
Flow ID:  209.112.113.33	Estimated size:  6489	True size:  6487
Flow ID: 159.178.100.162	Estimated size:  6392	True size:  6392
Flow ID:   99.166.162.58	Estimated size:  6386	True size:  5530
Flow ID:  159.178.119.40	Estimated size:  6172	True size:  6164
Flow ID:   174.228.12.85	Estimated size:  6155	True size:  4394
Flow ID: 171.161.207.200	Estimated size:  6141	True size:  6136
Flow ID:  159.178.100.82	Estimated size:  6060	True size:  6058
Flow ID:  159.178.100.33	Estimated size:  6058	True size:  5996
Flow ID:  159.178.32.133	Estimated size:  5965	True size:  5890
Flow ID:  178.33.214.223	Estimated size:  5946	True size:  5946
Flow ID:   66.87.114.206	Estimated size:  5896	True size:  5722
Flow ID:  69.172.201.238	Estimated size:  5892	True size:  5690
Flow ID:   207.46.13.156	Estimated size:  5892	True size:  5892
Flow ID:  66.231.139.112	Estimated size:  5862	True size:  5862
Flow ID: 159.178.109.180	Estimated size:  5856	True size:  5744
Flow ID:    204.74.115.1	Estimated size:  5833	True size:  5681
Flow ID: 128.227.236.254	Estimated size:  5806	True size:  5102
Flow ID:   184.50.26.236	Estimated size:  5770	True size:  5254
Flow ID:  198.102.61.236	Estimated size:  5758	True size:  5752
Flow ID:   54.192.205.60	Estimated size:  5743	True size:  5543
Flow ID:   104.92.16.146	Estimated size:  5577	True size:  5571
Flow ID:  128.227.220.36	Estimated size:  5531	True size:  5525
Flow ID:   35.190.151.98	Estimated size:  5524	True size:  5524
Flow ID:  199.204.59.137	Estimated size:  5481	True size:  5472
Flow ID:  149.111.148.27	Estimated size:  5439	True size:  5421
Flow ID:   167.68.20.174	Estimated size:  5429	True size:  5423
Flow ID:    40.76.218.33	Estimated size:  5415	True size:  5386
Flow ID:   37.143.196.58	Estimated size:  5410	True size:     2
Flow ID:    23.15.61.170	Estimated size:  5400	True size:  5396
Flow ID:    212.227.17.4	Estimated size:  5356	True size:  5356
Flow ID:  107.77.218.214	Estimated size:  5307	True size:  5254
Flow ID:    24.236.111.9	Estimated size:  5220	True size:  5216
Flow ID:  216.200.96.194	Estimated size:  5198	True size:  5168
Flow ID:    59.45.175.56	Estimated size:  5194	True size:  5172
Flow ID:     96.7.49.194	Estimated size:  5153	True size:  5139
Flow ID:     104.17.8.41	Estimated size:  5146	True size:  4932
Flow ID:   128.227.71.18	Estimated size:  5127	True size:  4926
Flow ID:   216.58.219.67	Estimated size:  5126	True size:  5122
Flow ID:    209.73.179.8	Estimated size:  5108	True size:  5108
Flow ID: 159.178.108.184	Estimated size:  5057	True size:  5038
Flow ID:  170.146.96.193	Estimated size:  5036	True size:  4926
Flow ID:    208.80.124.2	Estimated size:  5005	True size:  5001
Flow ID:    104.92.12.53	Estimated size:  5002	True size:  5000
Flow ID:  159.178.96.156	Estimated size:  4999	True size:  4992
Flow ID:    208.80.125.4	Estimated size:  4978	True size:  4966
Flow ID:   189.230.4.234	Estimated size:  4959	True size:  4676
Flow ID:  172.58.169.154	Estimated size:  4914	True size:  4354
Flow ID:   188.184.36.52	Estimated size:  4908	True size:  4904
Flow ID:     54.67.57.25	Estimated size:  4894	True size:  4848
Flow ID:  128.227.111.65	Estimated size:  4893	True size:  4878
Flow ID: 159.178.100.234	Estimated size:  4853	True size:  4717
Flow ID:   107.77.220.66	Estimated size:  4841	True size:  4836
